surname,weight
소주 가(賈),8798
가평 간(簡),2397
창원 감(甘),3318
회산 감(甘),2277
진산 강(姜),2213
진양 강(姜),193217
진주 강(姜),968109
곡산 강(康),29107
신천 강(康),52945
재령 강(康),3401
진주 강(康),1354
청주 경(慶),12474
시산 경(景),1347
태인 경(景),1223
해주 경(景),1033
수안 계(桂),6056
개성 고(高),18247
안동 고(高),2279
장택 고(高),38539
장흥 고(高),75517
제주 고(高),310542
청주 고(高),6300
횡성 고(高),9996
곡부 공(孔),89331
선산 곽(郭),8325
청주 곽(郭),20713
포산 곽(郭),1166
해미 곽(郭),3025
현풍 곽(郭),166608
평해 구(丘),15297
능성 구(具),108209
능주 구(具),62574
릉성 구(具),1460
창원 구(具),13339
회산 구(具),2762
담양 국(鞠),19089
안동 권(權),696317
예천 권(權),4531
봉성 금(琴),1770
봉화 금(琴),23301
행주 기(奇),27379
선산 길(吉),13636
해평 길(吉),22187
강능 김(金),5205
강릉 김(金),179593
강진 김(金),4845
강화 김(金),1861
개성 김(金),22793
경주 김(金),1800853
고령 김(金),15611
고성 김(金),13735
공주 김(金),7589
광산 김(金),926316
광주 김(金),28156
교하 김(金),1268
금녕 김(金),287701
금령 김(金),4794
금릉 김(金),1755
금산 김(金),16234
금성 김(金),3474
금영 김(金),14494
김녕 김(金),290092
김령 김(金),1494
김영 김(金),29855
김제 김(金),3541
김해 김(金),4456700
나주 김(金),51060
낙안 김(金),4174
남양 김(金),2283
당악 김(金),5400
대구 김(金),2397
덕수 김(金),3438
도강 김(金),31496
도광 김(金),1260
무장 김(金),2895
무주 김(金),2422
문소 김(金),8324
밀양 김(金),9200
백천 김(金),1490
부녕 김(金),2397
부령 김(金),14386
부안 김(金),48961
부영 김(金),3413
분성 김(金),16282
사천 김(金),5677
삼섭 김(金),1182
삼척 김(金),92671
상산 김(金),91558
상주 김(金),5503
서흥 김(金),36402
선산 김(金),138819
선상 김(金),7071
선성 김(金),3261
설성 김(金),2162
성주 김(金),1787
수안 김(金),5540
수원 김(金),21060
순천 김(金),62916
안동 김(金),519719
안산 김(金),16990
안성 김(金),1448
안악 김(金),1262
야성 김(金),2191
양근 김(金),7703
양산 김(金),2611
양주 김(金),3889
언양 김(金),52652
연안 김(金),93382
연일 김(金),2463
영광 김(金),37885
영덕 김(金),2193
영동 김(金),2587
영산 김(金),24941
영암 김(金),2558
영양 김(金),8779
영천 김(金),2785
예안 김(金),15600
완산 김(金),1090
용궁 김(金),12569
우봉 김(金),3325
울산 김(金),42746
원주 김(金),13215
월성 김(金),87268
의성 김(金),287469
일선 김(金),46009
전주 김(金),56989
정주 김(金),2376
진도 김(金),1539
진위 김(金),1474
진주 김(金),22308
진천 김(金),1999
창원 김(金),2950
청도 김(金),91293
청송 김(金),1014
청주 김(金),33681
청풍 김(金),110815
충주 김(金),10582
태원 김(金),2585
통천 김(金),5669
파평 김(金),1560
평산 김(金),1433
풍산 김(金),14311
풍천 김(金),2246
한양 김(金),5082
함녕 김(金),10406
함영 김(金),1135
함창 김(金),28343
해남 김(金),1619
해주 김(金),6652
해평 김(金),4790
해풍 김(金),10934
화순 김(金),1762
희천 김(金),3221
금성 나(羅),51966
나주 나(羅),96018
수성 나(羅),3001
안정 나(羅),7312
고성 남(南),10801
선녕 남(南),1583
선영 남(南),2452
영양 남(南),82272
의녕 남(南),7955
의령 남(南),162729
의영 남(南),1206
함열 남궁(南宮),20715
경주 노(盧),8000
곡산 노(盧),1133
광산 노(盧),40520
광주 노(盧),61809
교하 노(盧),61747
만경 노(盧),7435
신창 노(盧),2152
안동 노(盧),3282
장연 노(盧),10907
풍천 노(盧),45200
해주 노(盧),1670
강화 노(魯),17068
함평 노(魯),31724
함풍 노(魯),3502
밀양 당(唐),1014
성산 도(都),1479
성주 도(都),53066
광주 동(董),1206
광천 동(董),2692
두릉 두(杜),4514
금성 라(羅),6872
나주 라(羅),16223
안정 라(羅),1622
고흥 류(柳),15138
문화 류(柳),90313
서령 류(柳),1398
서산 류(柳),6172
전주 류(柳),16501
진양 류(柳),2580
진주 류(柳),16964
풍산 류(柳),10664
관산 마(馬),1193
목천 마(馬),2586
장흥 마(馬),31886
신창 맹(孟),19971
온양 맹(孟),1483
서촉 명(明),3820
연안 명(明),23313
함평 모(牟),20543
사천 목(睦),8713
감천 문(文),1076
강성 문(文),2906
남원 문(文),1128
남평 문(文),445946
단성 문(文),3940
려흥 민(閔),2199
여주 민(閔),5388
여흥 민(閔),159522
영흥 민(閔),1475
강릉 박(朴),15866
경주 박(朴),22262
고령 박(朴),43774
고성 박(朴),5130
구산 박(朴),7255
군위 박(朴),1333
금성 박(朴),3872
면성 박(朴),7666
면천 박(朴),4328
무안 박(朴),90785
문의 박(朴),4543
밀성 박(朴),64142
밀양 박(朴),3103942
반남 박(朴),160964
번남 박(朴),4651
비안 박(朴),3311
삼척 박(朴),5776
상산 박(朴),7916
상주 박(朴),25238
순창 박(朴),1257
순천 박(朴),105208
승평 박(朴),1780
여주 박(朴),1007
영암 박(朴),7255
영해 박(朴),31552
운봉 박(朴),1493
울산 박(朴),26571
월성 박(朴),26565
음성 박(朴),8734
의흥 박(朴),7948
전주 박(朴),1985
죽산 박(朴),63179
진원 박(朴),33630
진주 박(朴),2496
창원 박(朴),8382
철성 박(朴),1190
춘천 박(朴),19389
충주 박(朴),34226
태안 박(朴),6344
평산 박(朴),1319
학성 박(朴),1105
한양 박(朴),1580
함양 박(朴),163610
거제 반(潘),5183
광주 반(潘),10254
기성 반(潘),7631
남평 반(潘),3053
남양 방(房),27454
남원 방(房),3539
군위 방(方),6454
온양 방(方),80445
경주 배(裵),12118
곡강 배(裵),1377
곤산 배(裵),1556
곤양 배(裵),7546
김해 배(裵),53222
달성 배(裵),39353
대구 배(裵),38589
밀양 배(裵),1390
분성 배(裵),48427
성산 배(裵),65052
성주 배(裵),83620
흥해 배(裵),34259
남포 백(白),10907
대흥 백(白),4041
부여 백(白),2120
수원 백(白),354428
청도 백(白),1479
태인 백(白),1228
금성 범(范),3663
밀양 변(卞),18750
초계 변(卞),53860
팔계 변(卞),3435
원주 변(邊),47804
장연 변(邊),2490
황주 변(邊),8037
면천 복(卜),8614
강화 봉(奉),4165
하음 봉(奉),7688
제주 부(夫),10222
달성 빈(賓),1660
대구 빈(賓),2524
청주 사(史),8248
군위 사공(司空),1574
효령 사공(司空),2723
목천 상(尙),2259
남양 서(徐),1725
달성 서(徐),407431
대구 서(徐),97866
부여 서(徐),17145
연산 서(徐),7510
이천 서(徐),199792
장성 서(徐),10137
안음 서문(西門),1934
경주 석(昔),8740
월성 석(昔),1536
충주 석(石),41802
